iter	Passed	Remaining
0	147	147041
1	147	73729
2	148	49299
3	148	37059
4	149	29722
5	149	24828
6	150	21333
7	150	18719
8	151	16685
9	152	15054
10	152	13714
11	153	12598
12	153	11654
13	153	10844
14	154	10143
15	154	9528
16	155	8987
17	155	8505
18	156	8073
19	156	7685
20	157	7335
21	157	7015
22	158	6723
23	158	6457
24	159	6213
25	159	5987
26	160	5778
27	160	5584
28	161	5401
29	161	5231
30	162	5072
31	162	4923
32	163	4783
33	163	4651
34	164	4527
35	164	4409
36	165	4298
37	165	4192
38	166	4092
39	166	3997
40	167	3906
41	167	3820
42	167	3738
43	168	3661
44	169	3589
45	169	3518
46	170	3451
47	170	3387
48	171	3329
49	172	3269
50	172	3212
51	173	3155
52	173	3102
53	174	3050
54	174	3003
55	175	2956
56	175	2910
57	176	2865
58	176	2822
59	177	2780
60	177	2738
61	178	2700
62	178	2662
63	179	2624
64	179	2589
65	180	2554
66	180	2519
67	181	2484
68	181	2451
69	182	2421
70	182	2392
71	183	2362
72	183	2334
73	184	2308
74	185	2282
75	185	2256
76	186	2231
77	186	2206
78	187	2182
79	187	2157
80	188	2134
81	188	2111
82	189	2089
83	189	2069
84	190	2047
85	190	2028
86	191	2005
87	191	1986
88	192	1966
89	192	1948
90	193	1929
91	193	1911
92	194	1893
93	194	1876
94	195	1858
95	195	1841
96	196	1825
97	196	1810
98	197	1794
99	197	1779
100	198	1763
101	198	1746
102	199	1733
103	199	1719
104	200	1706
105	200	1692
106	201	1678
107	201	1665
108	202	1652
109	202	1639
110	203	1626
111	203	1614
112	204	1603
113	204	1591
114	205	1580
115	205	1567
116	206	1556
117	206	1544
118	207	1532
119	207	1522
120	208	1512
121	208	1501
122	208	1489
123	209	1479
124	209	1468
125	210	1458
126	210	1449
127	211	1439
128	211	1429
129	212	1420
130	212	1411
131	213	1402
132	213	1394
133	214	1386
134	215	1379
135	215	1371
136	216	1363
137	216	1354
138	217	1345
139	217	1337
140	218	1330
141	218	1322
142	219	1314
143	219	1307
144	220	1300
145	220	1292
146	221	1285
147	222	1278
148	222	1271
149	223	1263
150	223	1256
151	224	1249
152	224	1242
153	224	1235
154	225	1229
155	226	1222
156	226	1216
157	226	1209
158	227	1203
159	227	1196
160	228	1190
161	228	1184
162	229	1178
163	229	1172
164	230	1166
165	231	1161
166	231	1155
167	232	1149
168	232	1143
169	233	1138
170	233	1133
171	234	1127
172	234	1121
173	235	1116
174	235	1110
175	236	1105
176	236	1101
177	237	1095
178	237	1090
179	238	1085
180	238	1079
181	239	1074
182	239	1069
183	240	1064
184	240	1059
185	241	1055
186	241	1050
187	241	1045
188	242	1040
189	242	1035
190	243	1031
191	243	1026
192	244	1022
193	245	1018
194	245	1013
195	246	1009
196	246	1004
197	247	1000
198	247	997
199	248	992
200	248	988
201	249	984
202	249	980
203	250	976
204	250	972
205	251	968
206	251	964
207	252	960
208	252	956
209	253	952
210	253	948
211	254	944
212	254	941
213	255	937
214	255	933
215	256	930
216	256	926
217	257	923
218	257	919
219	258	915
220	258	912
221	259	908
222	259	905
223	260	902
224	260	898
225	261	895
226	261	892
227	262	888
228	262	885
229	263	881
230	263	878
231	264	875
232	264	872
233	265	868
234	265	865
235	266	862
236	266	858
237	267	856
238	267	853
239	268	849
240	268	846
241	269	843
242	269	840
243	270	837
244	270	834
245	271	831
246	271	828
247	272	825
248	272	822
249	273	819
250	273	816
251	274	814
252	274	811
253	275	809
254	275	806
255	276	803
256	277	800
257	277	798
258	278	795
259	278	792
260	279	790
261	279	787
262	280	784
263	280	781
264	280	779
265	281	777
266	282	774
267	282	771
268	283	769
269	283	766
270	283	763
271	284	761
272	284	758
273	285	756
274	285	753
275	286	751
276	286	748
277	287	746
278	287	744
279	288	741
280	289	739
281	289	737
282	290	734
283	290	732
284	291	730
285	291	728
286	292	726
287	292	724
288	293	721
289	293	719
290	294	717
291	294	714
292	295	712
293	295	710
294	296	708
295	296	706
296	297	703
297	297	701
298	298	699
299	298	697
300	299	694
301	299	692
302	300	690
303	300	688
304	301	686
305	301	684
306	302	682
307	302	680
308	303	678
309	303	676
310	304	674
311	304	672
312	305	670
313	305	668
314	306	666
315	306	664
316	307	662
317	307	660
318	308	658
319	308	656
320	309	654
321	309	652
322	310	650
323	311	648
324	311	647
325	312	645
326	312	643
327	312	641
328	313	639
329	313	637
330	314	635
331	315	633
332	315	631
333	315	630
334	316	628
335	316	626
336	317	624
337	317	622
338	318	621
339	318	619
340	319	617
341	320	615
342	320	614
343	321	612
344	321	610
345	322	609
346	322	607
347	323	605
348	323	603
349	324	602
350	324	600
351	325	598
352	325	596
353	326	595
354	326	593
355	327	591
356	327	590
357	328	588
358	328	586
359	329	585
360	329	583
361	330	581
362	330	580
363	331	578
364	331	576
365	332	575
366	332	573
367	333	572
368	333	570
369	334	568
370	334	567
371	335	565
372	335	564
373	336	562
374	336	561
375	337	559
376	337	558
377	338	556
378	338	555
379	339	553
380	339	552
381	340	550
382	340	549
383	341	547
384	342	546
385	342	544
386	342	543
387	343	541
388	344	540
389	344	538
390	345	537
391	345	535
392	346	534
393	346	532
394	347	531
395	347	530
396	347	528
397	348	527
398	348	525
399	349	524
400	350	522
401	350	521
402	351	519
403	351	518
404	351	517
405	352	515
406	353	514
407	353	512
408	354	511
409	354	510
410	354	508
411	355	507
412	355	505
413	356	504
414	356	503
415	357	501
416	357	500
417	358	498
418	358	497
419	359	496
420	359	494
421	360	493
422	360	491
423	361	490
424	361	489
425	362	487
426	362	486
427	363	485
428	363	483
429	363	482
430	364	481
431	364	479
432	365	478
433	365	477
434	366	475
435	366	474
436	367	473
437	367	471
438	368	470
439	368	469
440	369	468
441	369	466
442	370	465
443	370	464
444	371	462
445	371	461
446	372	460
447	372	459
448	373	457
449	373	456
450	374	455
451	374	454
452	375	452
453	375	451
454	375	450
455	376	449
456	376	447
457	377	446
458	377	445
459	378	444
460	378	443
461	379	441
462	379	440
463	380	439
464	380	438
465	381	437
466	381	435
467	382	434
468	382	433
469	383	432
470	383	431
471	384	429
472	384	428
473	385	427
474	385	426
475	386	425
476	386	423
477	387	422
478	387	421
479	387	420
480	388	419
481	388	417
482	389	416
483	389	415
484	390	414
485	390	413
486	391	412
487	391	411
488	392	409
489	392	408
490	393	407
491	393	406
492	394	405
493	394	404
494	395	403
495	395	402
496	396	401
497	396	399
498	397	398
499	397	397
500	398	396
501	398	395
502	399	394
503	399	393
504	400	392
505	400	391
506	401	389
507	401	388
508	401	387
509	402	386
510	402	385
511	403	384
512	403	383
513	404	382
514	404	381
515	405	380
516	405	379
517	406	378
518	406	377
519	407	375
520	407	374
521	408	373
522	408	372
523	409	371
524	410	370
525	410	370
526	411	368
527	411	367
528	412	366
529	412	365
530	413	364
531	413	363
532	414	362
533	414	361
534	415	360
535	415	359
536	415	358
537	416	357
538	416	356
539	417	355
540	417	354
541	418	353
542	418	352
543	419	351
544	419	350
545	420	349
546	420	348
547	421	347
548	421	346
549	422	345
550	422	344
551	423	343
552	423	342
553	424	341
554	425	340
555	425	339
556	426	338
557	426	337
558	427	336
559	427	336
560	428	335
561	428	334
562	429	333
563	429	332
564	430	331
565	430	330
566	431	329
567	431	328
568	432	327
569	432	326
570	433	325
571	433	324
572	434	323
573	434	322
574	434	321
575	435	320
576	435	319
577	436	318
578	436	317
579	437	316
580	438	315
581	438	314
582	439	314
583	439	313
584	439	312
585	440	311
586	440	310
587	441	309
588	441	308
589	442	307
590	442	306
591	443	305
592	443	304
593	444	303
594	444	302
595	445	301
596	445	300
597	446	299
598	446	299
599	447	298
600	447	297
601	448	296
602	448	295
603	449	294
604	449	293
605	450	292
606	450	291
607	451	290
608	451	290
609	452	289
610	453	288
611	453	287
612	454	286
613	454	285
614	455	284
615	455	283
616	455	283
617	456	282
618	457	281
619	457	280
620	457	279
621	458	278
622	458	277
623	459	276
624	459	275
625	460	275
626	460	274
627	461	273
628	461	272
629	462	271
630	462	270
631	463	269
632	463	268
633	464	267
634	464	267
635	465	266
636	465	265
637	466	264
638	466	263
639	466	262
640	467	261
641	467	260
642	468	260
643	468	259
644	469	258
645	469	257
646	470	256
647	470	255
648	471	254
649	471	254
650	472	253
651	472	252
652	473	251
653	473	250
654	474	249
655	474	248
656	475	248
657	475	247
658	476	246
659	476	245
660	477	244
661	477	243
662	478	242
663	478	242
664	478	241
665	479	240
666	479	239
667	480	238
668	480	237
669	481	237
670	481	236
671	482	235
672	482	234
673	483	233
674	483	232
675	484	232
676	484	231
677	485	230
678	485	229
679	486	228
680	486	228
681	487	227
682	487	226
683	488	225
684	488	224
685	489	223
686	489	223
687	490	222
688	490	221
689	491	220
690	491	219
691	492	219
692	492	218
693	492	217
694	493	216
695	493	215
696	494	214
697	494	214
698	495	213
699	495	212
700	496	211
701	496	210
702	497	210
703	497	209
704	498	208
705	498	207
706	499	206
707	499	206
708	500	205
709	500	204
710	501	203
711	501	202
712	502	202
713	502	201
714	503	200
715	503	199
716	503	198
717	504	198
718	504	197
719	505	196
720	505	195
721	506	194
722	506	194
723	507	193
724	507	192
725	508	191
726	508	191
727	509	190
728	509	189
729	510	188
730	510	188
731	511	187
732	511	186
733	512	185
734	512	184
735	513	184
736	513	183
737	514	182
738	514	181
739	515	181
740	515	180
741	516	179
742	516	178
743	517	177
744	517	177
745	518	176
746	518	175
747	519	174
748	519	174
749	520	173
750	520	172
751	521	171
752	521	171
753	522	170
754	522	169
755	523	168
756	523	168
757	523	167
758	524	166
759	524	165
760	525	165
761	525	164
762	526	163
763	526	162
764	527	162
765	527	161
766	528	160
767	528	159
768	529	159
769	529	158
770	530	157
771	530	156
772	531	156
773	531	155
774	532	154
775	532	153
776	533	153
777	533	152
778	534	151
779	534	150
780	535	150
781	535	149
782	536	148
783	536	147
784	537	147
785	537	146
786	537	145
787	538	144
788	538	144
789	539	143
790	539	142
791	540	141
792	540	141
793	541	140
794	541	139
795	542	139
796	543	138
797	543	137
798	544	136
799	544	136
800	545	135
801	545	134
802	546	133
803	546	133
804	547	132
805	547	131
806	548	131
807	548	130
808	548	129
809	549	128
810	549	128
811	550	127
812	550	126
813	551	125
814	551	125
815	552	124
816	552	123
817	553	123
818	553	122
819	554	121
820	554	120
821	554	120
822	555	119
823	555	118
824	556	118
825	557	117
